Concept	Définition
Acteur	C'est le nom général donné par le public aux personnes qui paraissent sur le théâtre, depuis les premiers sujets de la tragédie, de la danse et du chant, jusqu'aux plus modestes comparses. Chez les nations grecques, douées d'une intelligence vive et d'une exquise sensibilité, la profession d'acteur, exercée par des citoyens dans les réunions solennelles et aux fêtes olympiques, dut nécessairement être honorable et honorée. — Il n'en fut pas de même chez les Romains, peuple de moeurs énergiques, mais grossières, plus fait pour la guerre que pour les jeux de l'esprit. Là, les premiers acteurs, sortis de la classe des esclaves, ou tout au moius des affranchis, ou venus des provinces conquises, se trouvèrent en concurrence avec les gladiateurs et des entrepreneurs de combats d'animaux. L'infériorité de position de ceux qui exercèrent, les premiers, la profession d'artiste dramatique, et notamment celle de chanteur, influa puissamment sur le degré d'estime que le sénat crut devoir accorder à leurs successeurs. Tacite nous apprend que, d'après des ordonnances spéciales, un sénateur ne pouvait les visiter chez eux, ni un chevalier romain les accompagner dans la rue. Il fallut les réclamations d'un tribun du peuple et le bon sens de Tibère pour maintenir une ordonnance d'Auguste, qui les proclamait exempts du fouet, et empêcher le sénat de livrer leurs épaules à l'arbitraire d'un préteur.— Un des reproches que les historiens ont faits à Néron, c'est d'avoir chanté sur le théâtre. Cependant les acteurs n'étaient pas tous méprisés des Romains ; la jeunesse romaine elle-même imita, dans les fêtes solennelles, et surtout dans celle des moissons, les acteurs toscans qui, les premiers, avaient importé à Rome les jeux scéniques de l'Étrurie. Plus tard, à ce qu'il paraît, ce fut encore la jeunesse romaine qui joua les compositions dramatiques appelées satires. Le savant Alexandre Adam ne laisse aucun doute à cet égard, dans les Antiquités romaines. Les poètes dramatiques étaient presque tous acteurs dans leurs ouvrages, comme Molière dans les siens; c'était l'usage alors. Or, parmi les Naevius, les Ennius, les Plaute, les Gaecilius, les Térence, les Afranius, les Pacuvius, les Accius et les autres poètes dramatiques romains, il y eut des hommes très-honorables et trèsrecherchés. Lorsque le jeu dramatique devint un art, la jeunesse romaine abandonna la représentation des pièces régulières aux acteurs de profession, mais elle joua les compositions bouffonnes, ou farces entremêlées de beaucoup de facéties, par lesquelles on terminait ordinairement le spectacle, et que l'on nommait Exodies ou pièces atelIanes. Les acteurs de ces farces conservaient tous leurs droits de citoyens et pouvaient servir dans les armées. Le grand Cicéron était l'admirateur et l'ami du célèbre tragédien Esope et du célèbre comédien Roscius. Celui-ci était aussi l'ami de Pison et de Sylla : c'est pour lui que Cicéron fit son beau discours Pro Roscio. Les mimes Labérius et Publius Syrus étaient fort renommés à Rome, sous Jules César. Auguste causait avec Pylade, et Bathylle était le favori de Mécènes. En France, placés entre la noblesse, qui les nourrissait sur le pied de domesticité, et la bourgeoisie qui, ne les rencontrant dans aucune ville en corporation de quelque importance, oublia de les admettre à cette confraternité d'estime que les arts et métiers s'accordaient mutuellement, la condition des artistes dramatiques devint fort précaire. Elle fut empirée encore par les anathèmes que les ecclésiastiques français ful minèrent contre elle. Il le faut avouer, cependant, ils en avaient le droit. Le gouvernement civil peut refuser son concours, ses honneurs, ses récompenses, ses croix, ses pensions à ceux qui ne les ont point mérités: de même, le gouvernement ecclésiastique peut refuser ses sacrements, ses prières, ce qu'il appelle ses grâces et ses honneurs spirituels à quiconque ne lui en paraît pas digne. Il a pu abuser de son droit; mais enfin c'était son droit. Au reste, les anathèmes dont nous parlons, n'ont existé qu'en France et seulement dans quelques diocèses, et celà, grâce aux Jansénistes. Partout ailleurs, en Espagne et en Italie, il n'existe rien de semblable; et même, lorsque les pièces de théâtre ne sont pas immorales, il est parfaitement loisible aux ecclésiastiques d'assister à leur représentation. Le diocèse de Paris se montra sévère entre tous, à l'égard des théâtres et des acteurs : on sait ce qui fut fait à Molière. Cela n'empêcha pas la cour et la ville de les fréquenter et même de les honorer. Molière était reçu à la cour puritaine et démesurément aristocratique de Louis XIV. Le comédien Baron forma à la déclamation dramatique une ou deux altesses royales de la famille de Louis XV. Au reste, Louis XIV et sa famille toute entière, la Pompadour, Marie-Antoinette, les ducs de Provence et d'Artois se firent acteurs. Aujourd'hui qu'on exerce l'art thréâtral sans en être moins garde national, électeur, juré et éligible, la femme du monde reçoit dans son salon le comédien, le chanteur ou la cantatrice célèbres. Le bourgeois ne refuse pas à un artiste dramatique sa table et même sa fille, s'il gagne de bons appointements et mène une vie rangée, et le prolétaire professe presque du respect pour tout acteur.
Action	Expression des mouvements de l'âme par les mouvements et l'attitude du corps. On se sert particulièrement de ce terme pour la pantomime et l'art du chanteur et du comédien. — Le pantomime ne parle qu'aux yeux, tandis que le comédien y joint la déclamation ou le chant. L'action du chanteur déterminée par la musique, diffère de l'action du comédien qui déclame. — L'action embrasse 1° le maintien, la pose du corps, en un mot, l'attitude; 2° les mouvements des différentes parties du corps, telles que la tête, les mains, les pieds. Les plus expressives de ces parties sont les yeux et les muscles du visage, les mains et les doigts. Les mouvements des pieds sont du domaine de la danse.
Acuité	C'est cette modification du son qui fait qu'on le considère comme aigu ou élevé par rapport à d'autres sons qu'on appelle graves ou bas. L'acuité du son dépend du nombre de vibrations que le corps sonore exécute dans un temps donné ; plus ce nombre est grand, plus le son est aigu ou élevé. On a cru longtemps qu'il y avait une limite au-delà de laquelle les sons étaient trop graves ou trop aigus pour être entendus. On avait fixé la limite de ces derniers à 12,000 ou 15,000 oscillations par seconde. M. Savart à prouvé que l'affaiblissement des sons extrêmes était la principale cause, sinon la cause unique, qui avait empêché de percevoir les sons placés en dehors de ces limites, et qu'en augmentant leur intensité on percevait trèsbien les sons aigus correspondants à 48,000 oscillations ou 24,000 vibrations par seconde.
Acuto-aigu	Qualité du son qui résulte des vibrations rapides de l'air. (Voyez SON.)
Acutae-claves, acutae-voces	Expressions qui indiquent l'étendue des sons, du la, cinquième ligne de la basse, au sol, deuxième ligne du violon.
Adagio, (posément)	L'adagio est un mouvement un peu moins lent que le larghetto. (Voyez le mot MOUVEMENT.) Le mot adagio se prend quelquefois substantivement et s'applique par mataphore aux morceaux de musique dont il détermine le mouvement; ainsi l'on dira : un adagio de Boccherini, Baillot exécutait très-bien l'adagio, etc. C'est à Corelli, célèbre violoncelliste italien du XVIIe siècle, que l'art musical doit la création de l'a dagio. Le mot adagio se prend quelquefois substantivement et s'applique alors à certains morceaux de musique; ainsi on dit : l'adagio de Tartini, l'andante de San Martino et l'allegro de Locatelli. L'exécution de l'adagio exige la plus scrupuleuse observation des signes et des accents musicaux et repousse les ornements qui dénaturent la mélodie et détruisent l'idée du compositeur.
Adagio assai	C'est un mouvement plus lent que l'adagio.
Additato	Terme italien qui correspond au mot français doigté. Un morceau de musique est bien doigté, quand le compositeur, en écrivant, a facilité la position des doigts sur l'instrument qui doit servir à son exécution.
Addition des rapports, des intervalles	Calcul qui est souvent nécessaire dans le canon (voyez ce mot), pour apprendre à trouver le rapport qui est égal au produit de l'addition des rapports.
Additional keys	Terme anglais qui se trouve quelquefois dans les sonates et concertos de piano gravés en Angleterre, et qui signifie touches ajoutées, c'est-à-dire les touches qui succèdent à l'aigu, à la cinquième octave du clavier.
A deux	On dit : une sonate à deux pianos, à deux violoncelles, etc. — Cette expression signifie souvent qu'on marche à l'unisson comme dans les parties de basson ; quelquefois même on rencontre ce terme dans un choeur ou ripiène : c'est quand le compositeur y entremêle de petits duos, en les marquant avec les mots à deux, indiquant par là que ces passages doivent être chantés à deux voix seules.
Adiaphonon	Instrument à anches libres, construit en 1819, à Vienne, par Schuster, horloger à Vienne.
Ad libitum	Cette expression est ordinairement employée dans les parties et dans les passages où le mouvement de la mesure est interrompu par un point d'orgue. Alors le compositeur laisse à l'exécutant la liberté de lier la note du point d'orgue à la note qui la suit avec des broderies ou des modulations à volonté.
Adonidion	Espèce de poëme chanté en l'honneur d'Adonis.
Adonion	Chant exécuté par les Spartiates au moment d'attaquer l'ennemi. On avait l'habitude d'accompagner ce chant par des flûtes appelées tibioe ambulatorioe.
A dorio ad phrygium	Proverbe ancien dérivé des modes dorien et phrygien, qui signifiait sauter, dans le discours, d'un objet à un autre, sans aucune 'transition.
Adrianali (adriniens)	Jeux fondés par l'empereur Adrien.
Adupe	Espèce de tambour de basque dont on se sert en Espagne.
Aegual	Ce terme désigne un registre d'orgues à huit pieds.
Affections	La musique vit surtout d'affections et de sentiments. Le compositeur a principalement pour mission de traduire, en notes tour à tour vives, joyeuses, passionnées, plaintives et mélancoliques, les affections diverses qui agitent le coeur humain. — Bien qu'il n'ait pas la précision du langage ordinaire, le langage musical offre pourtant des ressources infinies. Ecoutez une des belles compositions de Gluck, de Weber, de Rossini, quelle variété d'impressions fait naître en vous l'oeuvre de ces grands artistes ! Avec quel art merveilleux ils savent exprimer tous les sentiments, l'amour, la haine, l'ironie, la colère. — La vive expression des affections de l'âme est le plus beau privilége du génie musical ; elle est la source des grands succès dramatiques. On ne saurait donc trop recommander aux compositeurs l'étude de la nature et du coeur humain. La science du contrepoint a son utilité sans doute, mais elle ne saurait produire que. des résultats médiocres sans la connaissance des affections et des sentiments.
Affetto ou affettuoso	Ce mot est le signe d'une expression douce et tendre; il indique un mouvement moins lent que l'adagio et plus posé que l'andante. Ainsi que la plupart des mots usités dans la musique, ce mot est tiré de l'italien, et se prend aussi substantivement.
Affinité des tons	C'est le rapport le plus rapproché qu'a tel ou tel ton avec un ton principal, la quinte par exemple, aura un rapport plus rapproché avec le ton principal que la quarte ; car la quinte se trouve avec le ton principal dans le rapport de 2 à 3, et la quarte dans celui de 3 à 4.
